25
BJP 北京
SHH 上海
TJP 天津
CCT 长春
CDW 成都
FZS 福州
GIW 贵阳
GZQ 广州
HBB 哈尔滨
HHC 呼和浩特
KMM 昆明
LZJ 兰州
NCG 南昌
NNZ 南宁
SYT 沈阳
WHN 武汉
XAY 西安
XNO 西宁
ZZF 郑州
DLT 大连
LZZ 柳州
SZQ 深圳
XCH 徐州
ZZQ 株洲
WAR 乌鲁木齐

3502
D2704 WAR LZJ 08:58 20:57 11:59 551.0
D2706 WAR LZJ 09:25 21:10 11:45 551.0
D2708 WAR LZJ 10:19 21:53 11:34 551.0
D2712 WAR LZJ 10:57 22:36 11:39 551.0
K596 WAR LZJ 11:15 10:30 23:15 217.0
D2714 WAR LZJ 11:44 23:12 11:28 551.0
T296 WAR LZJ 14:34 10:22 19:48 217.0
T308 WAR LZJ 17:36 12:35 18:59 213.0
Z106 WAR LZJ 17:56 10:39 16:43 213.0
K1504 WAR LZJ 18:19 18:12 23:53 217.0
Z232 WAR LZJ 18:29 10:53 16:24 213.0
T198 WAR LZJ 18:43 15:27 20:44 217.0
T284 WAR LZJ 19:10 15:34 20:24 217.0
Z42 WAR LZJ 19:16 12:04 16:48 213.0
T206 WAR LZJ 19:27 15:41 20:14 217.0
Z136 WAR LZJ 19:52 13:11 17:19 213.0
Z294 WAR LZJ 20:07 13:34 17:27 213.0
K2630 WAR LZJ 20:53 21:04 24:11 217.0
K1538 WAR LZJ 21:03 21:11 24:08 217.0
K2060 WAR LZJ 21:43 21:59 24:16 213.0
K176 WAR LZJ 21:54 22:09 24:15 217.0
K680 WAR LZJ 22:57 00:17 25:20 217.0
K679 LZJ WAR 04:57 06:20 25:23 217.0
D2701 LZJ WAR 07:50 19:15 11:25 551.0
K2629 LZJ WAR 08:11 08:50 24:39 217.0
D2703 LZJ WAR 08:22 19:50 11:28 551.0
K2059 LZJ WAR 08:22 10:38 26:16 213.0
D2705 LZJ WAR 08:54 20:46 11:52 551.0
D2707 LZJ WAR 09:35 21:20 11:45 551.0
D2711 LZJ WAR 10:45 22:30 11:45 551.0
T283 LZJ WAR 10:54 07:35 20:41 217.0
T197 LZJ WAR 12:03 09:34 21:31 217.0
K1503 LZJ WAR 12:17 11:39 23:22 217.0
K175 LZJ WAR 12:40 12:34 23:54 217.0
T205 LZJ WAR 13:06 08:57 19:51 217.0
Z293 LZJ WAR 14:04 08:20 18:16 213.0
T307 LZJ WAR 14:23 09:06 18:43 213.0
Z135 LZJ WAR 15:18 08:30 17:12 213.0
K1351 LZJ WAR 15:40 15:13 23:33 217.0
Z231 LZJ WAR 17:38 10:55 17:17 213.0
T295 LZJ WAR 17:47 13:33 19:46 217.0
Z41 LZJ WAR 18:41 11:02 16:21 213.0
Z105 LZJ WAR 18:56 11:32 16:36 213.0
K595 LZJ WAR 19:47 19:02 23:15 217.0
D2722 XNO LZJ 08:00 09:26 01:26 58.0
K2188 XNO LZJ 08:35 11:39 03:04 32.5
K4100 XNO LZJ 08:50 12:14 03:24 32.5
Z106 XNO LZJ 08:53 10:39 01:46 29.5
Z232 XNO LZJ 09:07 10:53 01:46 29.5
Z166 XNO LZJ 09:20 12:11 02:51 32.5
T308 XNO LZJ 09:44 12:35 02:51 29.5
K1060 XNO LZJ 09:55 13:03 03:08 32.5
D2732 XNO LZJ 09:59 11:18 01:19 58.0
Z42 XNO LZJ 10:06 12:04 01:58 29.5
D2742 XNO LZJ 10:28 11:50 01:22 58.0
K886 XNO LZJ 10:35 12:44 02:09 29.5
Z266 XNO LZJ 10:50 13:25 02:35 32.5
K178 XNO LZJ 11:20 14:33 03:13 32.5
Z136 XNO LZJ 11:22 13:11 01:49 29.5
Z294 XNO LZJ 11:32 13:34 02:02 29.5
D2744 XNO LZJ 12:04 13:16 01:12 58.0
T176 XNO LZJ 12:05 14:47 02:42 32.5
K1518 XNO LZJ 12:20 16:25 04:05 32.5
D2746 XNO LZJ 12:27 13:39 01:12 58.0
K622 XNO LZJ 13:05 15:59 02:54 32.5
D2734 XNO LZJ 13:32 15:02 01:30 58.0
Z22 XNO LZJ 13:45 16:15 02:30 32.5
Z152 XNO LZJ 14:30 17:12 02:42 32.5
D2782 XNO LZJ 14:59 16:20 01:21 58.0
D2748 XNO LZJ 15:37 17:05 01:28 61.0
Z324 XNO LZJ 15:39 18:19 02:40 32.5
D2750 XNO LZJ 16:21 17:40 01:19 58.0
D2752 XNO LZJ 16:38 17:58 01:20 61.0
D2736 XNO LZJ 17:09 18:38 01:29 58.0
D2724 XNO LZJ 18:15 19:58 01:43 61.0
K2060 XNO LZJ 19:08 21:59 02:51 29.5
K816 XNO LZJ 19:20 22:30 03:10 32.5
D2704 XNO LZJ 19:32 20:57 01:25 58.0
D2706 XNO LZJ 19:51 21:10 01:19 58.0
D2754 XNO LZJ 20:26 21:45 01:19 58.0
D2708 XNO LZJ 20:34 21:53 01:19 58.0
K378 XNO LZJ 21:05 00:08 03:03 32.5
